Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),SA4 Region,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding
BATEAU BAY,NSW,2261,Central Coast,Central Coast,Residential,101,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.37900507,151.4785501,5989695
BELLINGEN,NSW,2454,Mid North Coast,Coffs Harbour - Grafton,Residential,24,,,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,-30.45592416,152.8964324,1477244
BELMONT NORTH,NSW,2280,Hunter,Newcastle and Lake Macquarie,Residential,40,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.02256615,151.6582985,1917694
BELROSE,NSW,2085,Northern Sydney,Sydney - Northern Beaches,Residential,145,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.7232747,151.2192574,7316559
DEAN PARK,NSW,2761,Western Sydney,Sydney - Blacktown,Residential,114,,,St Elizabeth Home Limited,Religious,Major Cities of Australia,-33.73890812,150.8617045,7403283
BOMBALA,NSW,2632,Southern Highlands,Capital Region,Residential,33,,,Southern Cross Care (NSW & ACT),Religious,Outer Regional Australia,-36.91877318,149.2397608,1659934
BONALBO,NSW,2469,Far North Coast,Richmond - Tweed,Residential,15,,,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,-28.73615049,152.6217854,930464
BROKEN HILL,NSW,2880,Orana Far West,Far West and Orana,Residential,40,,,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,-31.9743008,141.4626468,2269308
BROKEN HILL,NSW,2880,Orana Far West,Far West and Orana,Residential,58,,,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,-31.943575,141.485104,3471292
BYRON BAY,NSW,2481,Far North Coast,Richmond - Tweed,Residential,41,,,Byron Aged Care Limited,Charitable,Inner Regional Australia,-28.64178738,153.6107986,2694290
GRASMERE,NSW,2570,South West Sydney,Sydney - Outer South West,Residential,140,,,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,-34.05665981,150.6746141,3578028
DALMENY,NSW,2546,Southern Highlands,Capital Region,Residential,36,,,Illawarra Retirement Trust,Community Based,Outer Regional Australia,-36.16733209,150.1085019,1058139
CANOWINDRA,NSW,2804,Central West,Central West,Residential,34,,,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,-33.56393702,148.6450084,1704945
MIRANDA,NSW,2228,South East Sydney,Sydney - Sutherland,Residential,76,,,IBIS (No 2) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.03918489,151.1141905,5121851
KOGARAH,NSW,2217,South East Sydney,Sydney - Inner South West,Residential,27,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.9702292,151.1292062,1399231
CASINO,NSW,2470,Far North Coast,Richmond - Tweed,Residential,73,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,-28.87215194,153.0433524,4822316
CASTLE HILL,NSW,2154,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,Residential,139,,,Anglican Community Services,Religious,Major Cities of Australia,-33.73141836,151.0225907,8658677
CASTLE HILL,NSW,2154,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,Residential,128,,,Anglican Community Services,Religious,Major Cities of Australia,-33.72850572,151.0234254,6941058
CASTLE HILL,NSW,2154,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,Residential,238,,,Anglican Community Services,Religious,Major Cities of Australia,-33.72850572,151.0234254,12599699
CONDOBOLIN,NSW,2877,Central West,Central West,Residential,40,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-33.08173415,147.1522513,1130672
COONABARABRAN,NSW,2357,Orana Far West,Far West and Orana,Residential,37,,,Cooinda Coonabarabran Ltd,Community Based,Outer Regional Australia,-31.27408598,149.286025,1603613
COOTAMUNDRA,NSW,2590,Riverina/Murray,Riverina,Residential,55,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,-34.6335112,148.0183038,3128223
CORAKI,NSW,2471,Far North Coast,Richmond - Tweed,Residential,49,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.994059,153.277965,2979381
COROWA,NSW,2646,Riverina/Murray,Murray,Residential,84,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,-35.9886123,146.3841826,3940271
CORRIMAL,NSW,2518,Illawarra,Illawarra,Residential,96,,,Illawarra Diggers Aged and Community Care Limited,Community Based,Major Cities of Australia,-34.36680286,150.8939735,5994905
CUNDLETOWN,NSW,2430,Mid North Coast,Mid North Coast,Residential,40,,,Calvary Retirement Communities Hunter-Manning Ltd,Religious,Inner Regional Australia,-31.90175824,152.5187223,2900608
DENILIQUIN,NSW,2710,Riverina/Murray,Murray,Residential,50,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,-35.52969114,144.9607788,2673355
DENMAN,NSW,2328,Hunter,Hunter Valley exc Newcastle,Residential,17,,,Merton Living Limited,Community Based,Inner Regional Australia,-32.38966725,150.6845241,1197629
HABERFIELD,NSW,2045,Inner West,Sydney - Inner West,Residential,43,,,The Presbyterian Church (New South Wales) Property Trust,Religious,Major Cities of Australia,-33.88295276,151.1342483,917223
DUBBO,NSW,2830,Orana Far West,Far West and Orana,Residential,49,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-32.23852825,148.608666,3017066
DULWICH HILL,NSW,2203,Inner West,Sydney - Inner West,Residential,38,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.90848368,151.1437203,2211086
DUNDAS,NSW,2115,Western Sydney,Sydney - Parramatta,Residential,66,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.79848423,151.0606228,4527098
MACQUARIE PARK,NSW,2113,Northern Sydney,Sydney - Ryde,Residential,68,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.77950801,151.1041697,4210340
FORBES,NSW,2871,Central West,Central West,Residential,91,,,Catholic Healthcare Limited,Charitable,Outer Regional Australia,-33.35872232,147.9904663,6018577
FORESTVILLE,NSW,2087,Northern Sydney,Sydney - Northern Beaches,Residential,35,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-33.76389603,151.2189432,1817210
HARDEN,NSW,2587,Southern Highlands,Capital Region,Residential,45,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,-34.55725448,148.3674601,2275115
GERRINGONG,NSW,2534,Illawarra,Illawarra,Residential,58,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.74737134,150.8225316,2985350
GOONELLABAH,NSW,2480,Far North Coast,Richmond - Tweed,Residential,80,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82564046,153.3203039,5858514
HUNTERS HILL,NSW,2110,Northern Sydney,Sydney - Ryde,Residential,35,,,Twilight House,Community Based,Major Cities of Australia,-33.83368739,151.1523822,1551150
GOULBURN,NSW,2580,Southern Highlands,Capital Region,Residential,103,,,The Salvation Army (NSW) Property Trust,Charitable,Inner Regional Australia,-34.76210651,149.6982514,6496907
GRAFTON,NSW,2460,Far North Coast,Coffs Harbour - Grafton,Residential,48,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-29.67275546,152.9371529,2470872
GRAFTON,NSW,2460,Far North Coast,Coffs Harbour - Grafton,Residential,63,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,-29.67088759,152.941198,3854305
GRIFFITH,NSW,2680,Riverina/Murray,Riverina,Residential,95,,,The Pioneers Lodge Limited,Private Incorporated Body,Outer Regional Australia,-34.29702039,146.0405675,4705179
HAMMONDVILLE,NSW,2170,South West Sydney,Sydney - South West,Residential,124,,,HammondCare,Charitable,Major Cities of Australia,-33.95054403,150.9595111,8479544
HORNSBY,NSW,2077,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,59,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.7010696,151.1133028,3214801
HUNTERS HILL,NSW,2110,Northern Sydney,Sydney - Ryde,Residential,52,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.83397475,151.1420162,2901793
SOUTH HURSTVILLE,NSW,2221,South East Sydney,Sydney - Inner South West,Residential,44,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.97533351,151.1110823,1872326
INVERELL,NSW,2360,New England,New England and North West,Residential,160,,,McLean Care Ltd,Charitable,Outer Regional Australia,-29.76043511,151.1354318,10388522
WEST KEMPSEY,NSW,2440,Mid North Coast,Mid North Coast,Residential,99,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-31.06106274,152.8256826,4281544
KIAMA,NSW,2533,Illawarra,Illawarra,Residential,82,,,The Council of the Municipality of Kiama,Local Government,Inner Regional Australia,-34.66691955,150.8467345,3286495
KILLARA,NSW,2071,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,19,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.76698273,151.1746037,880368
KOGARAH,NSW,2217,South East Sydney,Sydney - Inner South West,Residential,29,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96392074,151.1345997,2009528
KYOGLE,NSW,2474,Far North Coast,Richmond - Tweed,Residential,40,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-28.62575475,153.001548,2733885
LAKEMBA,NSW,2195,Inner West,Sydney - Inner South West,Residential,192,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92661622,151.0808402,12110078
LANE COVE,NSW,2066,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,74,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.8170108,151.1697732,3598914
HABERFIELD,NSW,2045,Inner West,Sydney - Inner West,Residential,86,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.88647264,151.141152,5126170
LEICHHARDT,NSW,2040,Inner West,Sydney - Inner West,Residential,130,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.88361937,151.1461364,7339155
MACKSVILLE,NSW,2447,Mid North Coast,Mid North Coast,Residential,61,,,Nambucca Valley Care Ltd,Community Based,Outer Regional Australia,-30.712655,152.9203,3039511
MACLEAN,NSW,2463,Far North Coast,Coffs Harbour - Grafton,Residential,61,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-29.45435382,153.2034302,4059428
MAITLAND,NSW,2320,Hunter,Hunter Valley exc Newcastle,Residential,79,,,The Maitland Benevolent Society Ltd,Charitable,Major Cities of Australia,-32.73008509,151.5454898,3956051
MANLY,NSW,2095,Northern Sydney,Sydney - Northern Beaches,Residential,61,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.79413224,151.2804027,2579935
MARAYONG,NSW,2148,Western Sydney,Sydney - Blacktown,Residential,146,,,Holy Family Services,Charitable,Major Cities of Australia,-33.74258834,150.8864461,10499751
MATRAVILLE,NSW,2036,South East Sydney,Sydney - Eastern Suburbs,Residential,40,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96297422,151.2443664,2442247
MAYFIELD,NSW,2304,Hunter,Newcastle and Lake Macquarie,Residential,38,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.89599146,151.7404975,2047524
MERIMBULA,NSW,2548,Southern Highlands,Capital Region,Residential,52,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-36.8920774,149.9084763,2512472
MERRYLANDS,NSW,2160,Western Sydney,Sydney - Parramatta,Residential,135,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.83939942,150.973714,7926507
MIRANDA,NSW,2228,South East Sydney,Sydney - Sutherland,Residential,73,,,Juliana Village Association Ltd,Community Based,Major Cities of Australia,-34.03672974,151.1080264,3248719
MONA VALE,NSW,2103,Northern Sydney,Sydney - Northern Beaches,Residential,28,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.67998269,151.2969139,1703884
MOREE,NSW,2400,New England,New England and North West,Residential,39,,,Fairview Care Limited,Community Based,Outer Regional Australia,-29.469656,149.839234,1932682
MUSWELLBROOK,NSW,2333,Hunter,Hunter Valley exc Newcastle,Residential,65,,,Calvary Retirement Communities Hunter-Manning Ltd,Religious,Inner Regional Australia,-32.2809181,150.8919997,2709348
NARRABEEN,NSW,2101,Northern Sydney,Sydney - Northern Beaches,Residential,74,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.70935503,151.3012024,4029199
NOWRA,NSW,2541,Illawarra,Southern Highlands and Shoalhaven,Residential,107,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.8750613,150.5992709,5500077
ORANGE,NSW,2800,Central West,Central West,Residential,62,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-33.28034225,149.1132343,3436753
ORANGE,NSW,2800,Central West,Central West,Residential,160,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-33.28082307,149.0902776,7444421
PARKES,NSW,2870,Central West,Central West,Residential,41,,,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,-33.13824782,148.1844314,2134946
PENDLE HILL,NSW,2145,Western Sydney,Sydney - Parramatta,Residential,80,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.79989746,150.9596218,5455940
CHERRYBROOK,NSW,2126,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,Residential,120,,,Christian Brethren Community Services,Charitable,Major Cities of Australia,-33.73098023,151.0559609,6139643
PETERSHAM,NSW,2049,Inner West,Sydney - City and Inner South,Residential,48,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.89645088,151.1548518,2946998
POINT CLARE,NSW,2250,Central Coast,Central Coast,Residential,11,,,Hamersley Nursing Home (WA) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.4393194,151.3151349,603666
QUEANBEYAN,NSW,2620,Southern Highlands,Capital Region,Residential,85,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-35.34599447,149.2330649,5197169
REVESBY,NSW,2212,South West Sydney,Sydney - Inner South West,Residential,50,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96399322,151.0202047,2223139
REVESBY,NSW,2212,South West Sydney,Sydney - Inner South West,Residential,95,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,-33.95876843,151.0197437,4578206
ROCKDALE,NSW,2216,South East Sydney,Sydney - Inner South West,Residential,52,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.95145788,151.1326399,2631022
ROOTY HILL,NSW,2766,Western Sydney,Sydney - Blacktown,Residential,172,,,Our Lady of Consolation Aged Care & Services Limited,Religious,Major Cities of Australia,-33.78276902,150.846673,7882318
ROSEVILLE,NSW,2069,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,61,,,KOPWA Limited,Community Based,Major Cities of Australia,-33.78071759,151.1766942,3294520
RYDE,NSW,2112,Northern Sydney,Sydney - Ryde,Residential,47,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.81927343,151.1040452,2755090
SINGLETON HEIGHTS,NSW,2330,Hunter,Hunter Valley exc Newcastle,Residential,49,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.54797262,151.1675456,2828458
SINGLETON,NSW,2330,Hunter,Hunter Valley exc Newcastle,Residential,34,,,Calvary Retirement Communities Hunter-Manning Ltd,Religious,Inner Regional Australia,-32.57020846,151.1691229,2142824
SPRINGWOOD,NSW,2777,Nepean,Sydney - Outer West and Blue Mountains,Residential,136,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576,8650940
STANWELL PARK,NSW,2508,Illawarra,Illawarra,Residential,44,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-34.226181,150.982722,1735552
KIRRAWEE,NSW,2232,South East Sydney,Sydney - Sutherland,Residential,133,,,Thomas Holt,Community Based,Major Cities of Australia,-34.02141758,151.0678777,7548629
NORTH SYDNEY,NSW,2060,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,68,,,North Sydney Retirement Trust,Community Based,Major Cities of Australia,-33.84037215,151.2146296,3171136
DARLINGHURST,NSW,2010,South East Sydney,Sydney - City and Inner South,Residential,30,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.87557328,151.214163,1949663
SYLVANIA,NSW,2224,South East Sydney,Sydney - Sutherland,Residential,69,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-34.0197251,151.1054378,3928093
OXLEY VALE,NSW,2340,New England,New England and North West,Residential,90,,,Nazareth Care,Religious,Inner Regional Australia,-31.06339605,150.9035397,5272656
TAMWORTH,NSW,2340,New England,New England and North West,Residential,62,,,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,-31.098067,150.941568,3576547
TARALGA,NSW,2580,Southern Highlands,Capital Region,Residential,23,,,Crookwell/Taralga Aged Care Ltd,Community Based,Inner Regional Australia,-34.40582572,149.8211439,1013133
TAREE,NSW,2430,Mid North Coast,Mid North Coast,Residential,83,,,Bushland Health Group Limited,Community Based,Inner Regional Australia,-31.89595428,152.4841091,4685739
TEMORA,NSW,2666,Riverina/Murray,Riverina,Residential,36,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-34.44336781,147.5423596,2063233
THIRLMERE,NSW,2572,South West Sydney,Sydney - Outer South West,Residential,45,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-34.2020681,150.5529741,2748466
THIRROUL,NSW,2515,Illawarra,Illawarra,Residential,35,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-34.32062679,150.9232246,1639390
NORTHMEAD,NSW,2152,Western Sydney,Sydney - Parramatta,Residential,121,,,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.78881106,150.9787296,7465919
TUMUT,NSW,2720,Riverina/Murray,Riverina,Residential,30,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-35.29806267,148.2190017,1962314
NORTH TURRAMURRA,NSW,2074,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,113,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.70083735,151.1469716,6004496
NORMANHURST,NSW,2076,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,94,,,Seventh-day Adventist Aged Care (Greater Sydney) Ltd,Private Incorporated Body,Major Cities of Australia,-33.72705723,151.0990233,5110581
WAITARA,NSW,2077,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,73,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.71191325,151.1048012,3837126
MOUNT WARRIGAL,NSW,2528,Illawarra,Illawarra,Residential,40,,,Warrigal Care,Charitable,Major Cities of Australia,-34.54768467,150.8440831,2065807
WAVERLEY,NSW,2024,South East Sydney,Sydney - Eastern Suburbs,Residential,41,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.89689662,151.2519608,2224251
WESTMEAD,NSW,2145,Western Sydney,Sydney - Parramatta,Residential,48,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.80581716,150.992611,2511760
WINGHAM,NSW,2429,Mid North Coast,Mid North Coast,Residential,82,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-31.86920075,152.3707146,4867961
WINSTON HILLS,NSW,2153,Western Sydney,Sydney - Baulkham Hills and Hawkesbury,Residential,122,,,Anglican Community Services,Religious,Major Cities of Australia,-33.77693706,150.9759948,5687319
WOLLONGONG,NSW,2500,Illawarra,Illawarra,Residential,63,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.42734794,150.8800214,2835219
WOONONA,NSW,2517,Illawarra,Illawarra,Residential,41,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.34399136,150.9033075,1473870
WYEE,NSW,2259,Hunter,Central Coast,Residential,100,,,Bethshan Ministries Limited,Charitable,Major Cities of Australia,-33.17004419,151.4723694,6098989
WYOMING,NSW,2250,Central Coast,Central Coast,Residential,35,,,Adelene Retirement Village,Charitable,Major Cities of Australia,-33.41152635,151.3648161,1270803
YASS,NSW,2582,Southern Highlands,Capital Region,Residential,82,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-34.83111871,148.9122744,4367573
YOUNG,NSW,2594,Southern Highlands,Capital Region,Residential,83,,,Southern Cross Care (NSW & ACT),Religious,Inner Regional Australia,-34.322695,148.29131,4775091
WEST PENNANT HILLS,NSW,2125,Western Sydney,Sydney - Baulkham Hills and Hawkesbury,Residential,44,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.73698527,151.0225545,2154682
HORNSBY,NSW,2077,Northern Sydney,Sydney - North Sydney and Hornsby,Residential,24,,,Christophorus House Retirement Village,Community Based,Major Cities of Australia,-33.6966924,151.0987175,519469
BERKELEY,NSW,2506,Illawarra,Illawarra,Residential,33,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-34.48289788,150.8431883,1965739
NEW LAMBTON,NSW,2305,Hunter,Newcastle and Lake Macquarie,Residential,51,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-32.93508674,151.7152755,2515853
WALLSEND,NSW,2287,Hunter,Newcastle and Lake Macquarie,Residential,72,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-32.91254277,151.659999,5215370
LAKEMBA,NSW,2195,Inner West,Sydney - Inner South West,Residential,50,,,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,-33.92391248,151.0762091,3565455
NARRANDERA,NSW,2700,Riverina/Murray,Riverina,Residential,45,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-34.74811985,146.5494843,2259928
MULLUMBIMBY,NSW,2482,Far North Coast,Richmond - Tweed,Residential,55,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-28.55901471,153.4909277,3122970
BANKSTOWN,NSW,2200,South West Sydney,Sydney - Inner South West,Residential,45,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,-33.91222,151.020598,1783660
TUNCURRY,NSW,2428,Mid North Coast,Mid North Coast,Residential,146,,,Great Lakes Aged & Invalid Care Association Ltd,Community Based,Inner Regional Australia,-32.16756731,152.4967062,8866314
PENRITH,NSW,2750,Nepean,Sydney - Outer West and Blue Mountains,Residential,59,,,Anglican Community Services,Religious,Major Cities of Australia,-33.75261083,150.7103632,3831040
HAY,NSW,2711,Riverina/Murray,Murray,Residential,24,,,Hay Senior Citizens Association Incorporated,Community Based,Outer Regional Australia,-34.50173,144.85255,827564
COWRA,NSW,2794,Central West,Central West,Residential,82,,,Cowra Retirement Village Ltd,Charitable,Inner Regional Australia,-33.823685,148.69388,4387595
DUBBO,NSW,2830,Orana Far West,Far West and Orana,Residential,72,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-32.26121987,148.6003671,3240301
